TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
dossier	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
affaire	O	_	_	_	_	_	_	_	_		
Bloch	B-PERS	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
été	O	_	_	_	_	_	_	_	_		
remis	O	_	_	_	_	_	_	_	ENDOFLINE		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
chambre	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
accusation	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
tribunal	O	_	_	_	_	_	_	_	_		
fédéral	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
qui	O	_	_	_	_	_	_	_	_		
aura	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	_		
prononcer	O	_	_	_	_	_	_	_	_		
sur	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
mise	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
liberté	O	_	_	_	_	_	_	_	ENDOFLINE		
provisoire	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
M	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-PERS	_	_	_	_	_	_	_	_		
Jules	B-PERS	_	_	_	_	_	_	_	_		
Bloch	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
La	O	_	_	_	_	_	_	_	_		
décision	O	_	_	_	_	_	_	_	_		
sera	O	_	_	_	_	_	_	_	ENDOFLINE		
prise	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
ici	O	_	_	_	_	_	_	_	_		
quelques	O	_	_	_	_	_	_	_	_		
jours	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
M	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-PERS	_	_	_	_	_	_	_	_		
Bloch	I-PERS	_	_	_	_	_	_	_	_		
paraît	O	_	_	_	_	_	_	_	_		
très	O	_	_	_	_	_	_	_	_		
nerveux	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
suite	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	ENDOFLINE		
régime	O	_	_	_	_	_	_	_	_		
auquel	O	_	_	_	_	_	_	_	_		
il	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
soumis	O	_	_	_	_	_	_	_	_		
;	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
procédés	O	_	_	_	_	_	_	_	ENDOFLINE		
dont	O	_	_	_	_	_	_	_	_		
on	O	_	_	_	_	_	_	_	_		
use	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
son	O	_	_	_	_	_	_	_	_		
égard	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
mettent	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	ENDOFLINE		
état	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
excitation	O	_	_	_	_	_	_	_	_		
bien	O	_	_	_	_	_	_	_	_		
compréhensible	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
On	O	_	_	_	_	_	_	_	ENDOFLINE		
avait	O	_	_	_	_	_	_	_	_		
promis	O	_	_	_	_	_	_	_	_		
vendredi	O	_	_	_	_	_	_	_	_		
dernier	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
mise	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	ENDOFLINE		
liberté	O	_	_	_	_	_	_	_	_		
sans	O	_	_	_	_	_	_	_	_		
condition	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
M	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-PERS	_	_	_	_	_	_	_	_		
Achille	I-PERS	_	_	_	_	_	_	_	_		
Rossé	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	I-PERS	_	_	_	_	_	_	_	ENDOFLINE		
ancien	I-PERS	_	_	_	_	_	_	_	_		
employé	I-PERS	_	_	_	_	_	_	_	_		
du	I-PERS	_	_	_	_	_	_	_	_		
département	I-PERS	_	_	_	_	_	_	_	_		
de	I-PERS	_	_	_	_	_	_	_	_		
l	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
'	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
économie	I-PERS	_	_	_	_	_	_	_	ENDOFLINE		
publique	I-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
reçu	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
M	B-PERS	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-PERS	_	_	_	_	_	_	_	_		
Bloch	I-PERS	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
somme	O	_	_	_	_	_	_	_	ENDOFLINE		
de	O	_	_	_	_	_	_	_	_		
5000	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Samedi	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
chez	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
siens	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
on	O	_	_	_	_	_	_	_	_		
attendait	O	_	_	_	_	_	_	_	ENDOFLINE		
encore	O	_	_	_	_	_	_	_	_		
son	O	_	_	_	_	_	_	_	_		
retour	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
C	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
—	O	_	_	_	_	_	_	_	_		
Le	O	_	_	_	_	_	_	_	_		
conseil	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
administration	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	ENDOFLINE		
C	B-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
discuté	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
propositions	O	_	_	_	_	_	_	_	_		
relatives	O	_	_	_	_	_	_	_	_		
h	O	_	_	_	_	_	_	_	ENDOFLINE		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
octroi	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
allocations	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
renchérissement	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	ENDOFLINE		
pensionnaires	O	_	_	_	_	_	_	_	_		
pour	B-TIME	_	_	_	_	_	_	_	_		
1918	I-TIME	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Il	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
décidé	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
recommander	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	_		
Conseil	B-ORG	_	_	_	_	_	_	_	_		
fédéral	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
être	O	_	_	_	_	_	_	_	_		
soumis	O	_	_	_	_	_	_	_	ENDOFLINE		
aux	O	_	_	_	_	_	_	_	_		
Chambres	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	_		
projet	O	_	_	_	_	_	_	_	_		
disant	O	_	_	_	_	_	_	_	_		
:	O	_	_	_	_	_	_	_	_		
«	O	_	_	_	_	_	_	_	_		
L	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	ENDOFLINE|NOSPACEAFTER		
administration	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
C	B-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
F	I-ORG	_	_	_	_	_	_	_	NOSPACEAFTER		
.	I-ORG	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
autorisée	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
verser	O	_	_	_	_	_	_	_	_		
pour	B-TIME	_	_	_	_	_	_	_	ENDOFLINE		
1918	I-TIME	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
aux	O	_	_	_	_	_	_	_	_		
anciens	O	_	_	_	_	_	_	_	_		
fonctionnaires	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
employés	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
poste	O	_	_	_	_	_	_	_	_		
fixe	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
ouvriers	O	_	_	_	_	_	_	_	_		
vivant	O	_	_	_	_	_	_	_	_		
en	O	_	_	_	_	_	_	_	_		
Suisse	B-LOC	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	ENDOFLINE		
sont	O	_	_	_	_	_	_	_	_		
pensionnés	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
caisses	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
secours	O	_	_	_	_	_	_	_	_		
ou	O	_	_	_	_	_	_	_	ENDOFLINE		
touchent	O	_	_	_	_	_	_	_	_		
une	O	_	_	_	_	_	_	_	_		
rente	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
suite	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
accident	O	_	_	_	_	_	_	_	ENDOFLINE		
donnant	O	_	_	_	_	_	_	_	_		
lieu	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
responsabilité	O	_	_	_	_	_	_	_	_		
civile	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
ainsi	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
aux	O	_	_	_	_	_	_	_	ENDOFLINE		
survivants	O	_	_	_	_	_	_	_	_		
d	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
anciens	O	_	_	_	_	_	_	_	_		
agents	O	_	_	_	_	_	_	_	_		
se	O	_	_	_	_	_	_	_	_		
trouvant	O	_	_	_	_	_	_	_	_		
dans	O	_	_	_	_	_	_	_	ENDOFLINE		
le	O	_	_	_	_	_	_	_	_		
même	O	_	_	_	_	_	_	_	_		
cas	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	_		
subside	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
guerre	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
340	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE		
par	O	_	_	_	_	_	_	_	_		
invalide	O	_	_	_	_	_	_	_	_		
;	O	_	_	_	_	_	_	_	_		
210	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
veuve	O	_	_	_	_	_	_	_	_		
;	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	_		
0	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	ENDOFLINE		
orphelin	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
270	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
par	O	_	_	_	_	_	_	_	_		
ouvrier	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
Il	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	_		
ouvert	O	_	_	_	_	_	_	_	ENDOFLINE		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
direction	O	_	_	_	_	_	_	_	_		
pour	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
paiement	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
subside	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	ENDOFLINE		
crédit	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
1,950,000	O	_	_	_	_	_	_	_	_		
fr	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	_		
»	O	_	_	_	_	_	_	_	ENDOFLINE		
Courbons	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
échiné	O	_	_	_	_	_	_	_	_		
!	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
—	O	_	_	_	_	_	_	_	_		
Le	O	_	_	_	_	_	_	_	_		
peuple	O	_	_	_	_	_	_	_	_		
suisse	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	ENDOFLINE		
appris	O	_	_	_	_	_	_	_	_		
avec	O	_	_	_	_	_	_	_	_		
soulagement	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
joie	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
bonheur	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	ENDOFLINE		
la	O	_	_	_	_	_	_	_	_		
douce	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
gracieuse	O	_	_	_	_	_	_	_	_		
Germanie	B-LOC	_	_	_	_	_	_	_	_		
va	O	_	_	_	_	_	_	_	_		
lui	O	_	_	_	_	_	_	_	_		
envoyer	O	_	_	_	_	_	_	_	ENDOFLINE		
300	O	_	_	_	_	_	_	_	_		
tonnes	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
voies	O	_	_	_	_	_	_	_	_		
Decauville	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
A	O	_	_	_	_	_	_	_	_		
quel	O	_	_	_	_	_	_	_	_		
prix	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
et	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
quelles	O	_	_	_	_	_	_	_	_		
conditions	O	_	_	_	_	_	_	_	_		
?	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Personne	O	_	_	_	_	_	_	_	_		
ne	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
dit	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
mais	O	_	_	_	_	_	_	_	_		
on	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
devine	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Par	O	_	_	_	_	_	_	_	_		
contre	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
communiqué	O	_	_	_	_	_	_	_	ENDOFLINE		
quasi	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
officiel	O	_	_	_	_	_	_	_	_		
sur	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
matière	O	_	_	_	_	_	_	_	_		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
oublie	O	_	_	_	_	_	_	_	_		
pas	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
recommander	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
gratitude	O	_	_	_	_	_	_	_	_		
envers	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
pays	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
malgré	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
difficultés	O	_	_	_	_	_	_	_	_		
présentes	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
nous	O	_	_	_	_	_	_	_	_		
fait	O	_	_	_	_	_	_	_	_		
un	O	_	_	_	_	_	_	_	ENDOFLINE		
cadeau	O	_	_	_	_	_	_	_	_		
superbe	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Ah	O	_	_	_	_	_	_	_	_		
!	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
bon	O	_	_	_	_	_	_	_	_		
billet	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
voilà	O	_	_	_	_	_	_	_	_		
!	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Lorsqu	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	_		
en	B-TIME	_	_	_	_	_	_	_	_		
1915	I-TIME	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
accapareurs	O	_	_	_	_	_	_	_	_		
râflaiant	O	_	_	_	_	_	_	_	ENDOFLINE		
toutes	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
voies	O	_	_	_	_	_	_	_	_		
Decauville	B-LOC	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
Suisse	B-LOC	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	ENDOFLINE		
vu	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	_		
su	O	_	_	_	_	_	_	_	_		
do	O	_	_	_	_	_	_	_	_		
nos	O	_	_	_	_	_	_	_	_		
autorités	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
leur	O	_	_	_	_	_	_	_	_		
faisaient	O	_	_	_	_	_	_	_	ENDOFLINE		
prendre	O	_	_	_	_	_	_	_	_		
le	O	_	_	_	_	_	_	_	_		
chemin	O	_	_	_	_	_	_	_	_		
que	O	_	_	_	_	_	_	_	_		
vous	O	_	_	_	_	_	_	_	_		
savez	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
ce	O	_	_	_	_	_	_	_	ENDOFLINE		
qui	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
protesté	O	_	_	_	_	_	_	_	_		
?	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
qui	O	_	_	_	_	_	_	_	_		
est	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
ce	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	_		
a	O	_	_	_	_	_	_	_	_		
interdit	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	ENDOFLINE|NOSPACEAFTER		
exportation	O	_	_	_	_	_	_	_	_		
?	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Personne	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
n	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
est	O	_	_	_	_	_	_	_	NOSPACEAFTER		
-	O	_	_	_	_	_	_	_	NOSPACEAFTER		
ce	O	_	_	_	_	_	_	_	_		
pas	O	_	_	_	_	_	_	_	_		
?	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Et	O	_	_	_	_	_	_	_	ENDOFLINE		
jourd	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
hui	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
parce	O	_	_	_	_	_	_	_	_		
qu	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
il	O	_	_	_	_	_	_	_	_		
faut	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
tout	O	_	_	_	_	_	_	_	_		
prix	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	ENDOFLINE		
matériel	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
nous	O	_	_	_	_	_	_	_	_		
devons	O	_	_	_	_	_	_	_	_		
donner	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
place	O	_	_	_	_	_	_	_	_		
lait	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	ENDOFLINE		
beau	O	_	_	_	_	_	_	_	_		
bétail	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
puis	O	_	_	_	_	_	_	_	_		
encore	O	_	_	_	_	_	_	_	_		
courber	O	_	_	_	_	_	_	_	_		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
échiné	O	_	_	_	_	_	_	_	_		
?	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
Non	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
c	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
est	O	_	_	_	_	_	_	_	_		
trop	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
Relevons	O	_	_	_	_	_	_	_	_		
la	O	_	_	_	_	_	_	_	_		
tête	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
au	O	_	_	_	_	_	_	_	_		
contraire	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	ENDOFLINE		
et	O	_	_	_	_	_	_	_	_		
faisons	O	_	_	_	_	_	_	_	_		
front	O	_	_	_	_	_	_	_	_		
contre	O	_	_	_	_	_	_	_	_		
les	O	_	_	_	_	_	_	_	_		
gens	O	_	_	_	_	_	_	_	_		
qui	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
à	O	_	_	_	_	_	_	_	ENDOFLINE		
l	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
intérieur	O	_	_	_	_	_	_	_	_		
du	O	_	_	_	_	_	_	_	_		
pays	O	_	_	_	_	_	_	_	NOSPACEAFTER		
,	O	_	_	_	_	_	_	_	_		
font	O	_	_	_	_	_	_	_	_		
foin	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	_		
son	O	_	_	_	_	_	_	_	_		
honneur	O	_	_	_	_	_	_	_	_		
et	O	_	_	_	_	_	_	_	_		
de	O	_	_	_	_	_	_	_	ENDOFLINE		
sa	O	_	_	_	_	_	_	_	_		
_	O	_	_	_	_	_	_	_	NOSPACEAFTER		
durnito	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFLINE|ENDOFSENTENCE		
La	O	_	_	_	_	_	_	_	_		
contrettande	O	_	_	_	_	_	_	_	NOSPACEAFTER		
.	O	_	_	_	_	_	_	_	ENDOFSENTENCE		
—	O	_	_	_	_	_	_	_	_		
L	O	_	_	_	_	_	_	_	NOSPACEAFTER		
'	O	_	_	_	_	_	_	_	NOSPACEAFTER		
un	O	_	_	_	_	_	_	_	_		
des	O	_	_	_	_	_	_	_	_		
